,000300.XSHG,000001.XSHG,399001.XSHE,399006.XSHE,399018.XSHE
447,,600841.XSHG,002271.XSHE,,
448,,600315.XSHG,002701.XSHE,,
449,,600053.XSHG,000939.XSHE,,
450,,601985.XSHG,002589.XSHE,,
451,,600114.XSHG,300418.XSHE,,
452,,603188.XSHG,002048.XSHE,,
453,,603063.XSHG,300003.XSHE,,
454,,600557.XSHG,002597.XSHE,,
455,,600750.XSHG,002106.XSHE,,
456,,600518.XSHG,000418.XSHE,,
457,,601799.XSHG,300137.XSHE,,
458,,603323.XSHG,002157.XSHE,,
459,,600697.XSHG,002233.XSHE,,
460,,600458.XSHG,300182.XSHE,,
461,,603111.XSHG,000970.XSHE,,
462,,600180.XSHG,002273.XSHE,,
463,,600710.XSHG,002007.XSHE,,
464,,603920.XSHG,000839.XSHE,,
465,,600073.XSHG,300496.XSHE,,
466,,603608.XSHG,002142.XSHE,,
467,,603507.XSHG,002151.XSHE,,
468,,600572.XSHG,000651.XSHE,,
469,,603331.XSHG,000050.XSHE,,
470,,603339.XSHG,000961.XSHE,,
471,,600398.XSHG,002497.XSHE,,
472,,603707.XSHG,300009.XSHE,,
473,,601003.XSHG,000762.XSHE,,
474,,603039.XSHG,002277.XSHE,,
475,,600118.XSHG,300024.XSHE,,
476,,603306.XSHG,002185.XSHE,,
477,,601607.XSHG,000987.XSHE,,
478,,603605.XSHG,000793.XSHE,,
479,,600390.XSHG,000555.XSHE,,
480,,603133.XSHG,000062.XSHE,,
481,,600573.XSHG,002342.XSHE,,
482,,600651.XSHG,002636.XSHE,,
483,,600880.XSHG,002175.XSHE,,
484,,600777.XSHG,002307.XSHE,,
485,,603059.XSHG,002657.XSHE,,
486,,603858.XSHG,002839.XSHE,,
487,,600837.XSHG,002503.XSHE,,
488,,601113.XSHG,000750.XSHE,,
489,,601991.XSHG,000630.XSHE,,
490,,601882.XSHG,002366.XSHE,,
491,,600067.XSHG,002099.XSHE,,
492,,600811.XSHG,000979.XSHE,,
493,,600448.XSHG,002050.XSHE,,
494,,603388.XSHG,300122.XSHE,,
495,,600097.XSHG,300287.XSHE,,
496,,603363.XSHG,300124.XSHE,,
497,,603906.XSHG,000685.XSHE,,
498,,603709.XSHG,002408.XSHE,,
499,,600682.XSHG,,,
500,,600959.XSHG,,,
501,,600365.XSHG,,,
502,,603800.XSHG,,,
503,,601908.XSHG,,,
504,,600425.XSHG,,,
505,,603970.XSHG,,,
506,,603358.XSHG,,,
507,,600351.XSHG,,,
508,,600459.XSHG,,,
509,,600292.XSHG,,,
510,,600359.XSHG,,,
511,,603900.XSHG,,,
512,,601212.XSHG,,,
513,,603818.XSHG,,,
514,,603617.XSHG,,,
515,,601099.XSHG,,,
516,,601218.XSHG,,,
517,,601360.XSHG,,,
518,,603003.XSHG,,,
519,,600500.XSHG,,,
520,,603628.XSHG,,,
521,,603228.XSHG,,,
522,,603396.XSHG,,,
523,,601919.XSHG,,,
524,,603517.XSHG,,,
525,,603329.XSHG,,,
526,,603013.XSHG,,,
527,,601177.XSHG,,,
528,,600792.XSHG,,,
529,,600866.XSHG,,,
530,,600969.XSHG,,,
531,,600592.XSHG,,,
532,,603963.XSHG,,,
533,,601878.XSHG,,,
534,,603348.XSHG,,,
535,,603096.XSHG,,,
536,,603197.XSHG,,,
537,,600201.XSHG,,,
538,,600381.XSHG,,,
539,,600825.XSHG,,,
540,,601965.XSHG,,,
541,,600892.XSHG,,,
542,,603603.XSHG,,,
543,,601118.XSHG,,,
544,,600136.XSHG,,,
545,,603609.XSHG,,,
546,,600183.XSHG,,,
547,,603806.XSHG,,,
548,,600016.XSHG,,,
549,,601008.XSHG,,,
550,,600469.XSHG,,,
551,,603300.XSHG,,,
552,,600619.XSHG,,,
553,,601018.XSHG,,,
554,,603639.XSHG,,,
555,,600243.XSHG,,,
556,,600791.XSHG,,,
557,,600366.XSHG,,,
558,,603533.XSHG,,,
559,,600620.XSHG,,,
560,,601818.XSHG,,,
561,,603239.XSHG,,,
562,,600291.XSHG,,,
563,,601808.XSHG,,,
564,,600178.XSHG,,,
565,,600069.XSHG,,,
566,,600810.XSHG,,,
567,,603283.XSHG,,,
568,,600460.XSHG,,,
569,,603118.XSHG,,,
570,,600135.XSHG,,,
571,,601127.XSHG,,,
572,,601900.XSHG,,,
573,,600998.XSHG,,,
574,,601179.XSHG,,,
575,,600829.XSHG,,,
576,,601668.XSHG,,,
577,,600218.XSHG,,,
578,,603980.XSHG,,,
579,,603385.XSHG,,,
580,,601328.XSHG,,,
581,,600223.XSHG,,,
582,,601858.XSHG,,,
583,,600018.XSHG,,,
584,,601996.XSHG,,,
585,,600282.XSHG,,,
586,,603488.XSHG,,,
587,,600535.XSHG,,,
588,,603933.XSHG,,,
589,,600489.XSHG,,,
590,,600939.XSHG,,,
591,,601000.XSHG,,,
592,,600108.XSHG,,,
593,,600783.XSHG,,,
594,,600177.XSHG,,,
595,,600549.XSHG,,,
596,,601700.XSHG,,,
597,,600080.XSHG,,,
598,,600225.XSHG,,,
599,,600137.XSHG,,,
600,,600369.XSHG,,,
601,,600229.XSHG,,,
602,,603976.XSHG,,,
603,,600622.XSHG,,,
604,,603833.XSHG,,,
605,,600468.XSHG,,,
606,,603311.XSHG,,,
607,,600420.XSHG,,,
608,,603005.XSHG,,,
609,,600789.XSHG,,,
610,,603505.XSHG,,,
611,,601116.XSHG,,,
612,,600429.XSHG,,,
613,,600691.XSHG,,,
614,,600132.XSHG,,,
615,,600919.XSHG,,,
616,,603355.XSHG,,,
617,,600120.XSHG,,,
618,,600560.XSHG,,,
619,,600570.XSHG,,,
620,,601579.XSHG,,,
621,,600687.XSHG,,,
622,,600499.XSHG,,,
623,,600332.XSHG,,,
624,,603199.XSHG,,,
625,,600502.XSHG,,,
626,,600602.XSHG,,,
627,,600618.XSHG,,,
628,,600508.XSHG,,,
629,,603083.XSHG,,,
630,,603067.XSHG,,,
631,,601100.XSHG,,,
632,,600146.XSHG,,,
633,,600030.XSHG,,,
634,,603515.XSHG,,,
635,,600908.XSHG,,,
636,,603633.XSHG,,,
637,,600793.XSHG,,,
638,,600151.XSHG,,,
639,,601326.XSHG,,,
640,,603968.XSHG,,,
641,,603508.XSHG,,,
642,,600158.XSHG,,,
643,,603203.XSHG,,,
644,,600379.XSHG,,,
645,,600875.XSHG,,,
646,,600693.XSHG,,,
647,,601233.XSHG,,,
648,,603278.XSHG,,,
649,,600678.XSHG,,,
650,,603887.XSHG,,,
651,,600616.XSHG,,,
652,,603222.XSHG,,,
653,,603127.XSHG,,,
654,,600509.XSHG,,,
655,,603598.XSHG,,,
656,,600078.XSHG,,,
657,,600482.XSHG,,,
658,,603288.XSHG,,,
659,,600240.XSHG,,,
660,,603131.XSHG,,,
661,,600729.XSHG,,,
662,,600740.XSHG,,,
663,,600887.XSHG,,,
664,,600400.XSHG,,,
665,,603939.XSHG,,,
666,,603086.XSHG,,,
667,,600881.XSHG,,,
668,,601168.XSHG,,,
669,,601677.XSHG,,,
670,,603100.XSHG,,,
671,,600220.XSHG,,,
672,,600141.XSHG,,,
673,,603015.XSHG,,,
674,,600268.XSHG,,,
675,,600048.XSHG,,,
676,,600148.XSHG,,,
677,,601999.XSHG,,,
678,,603712.XSHG,,,
679,,600061.XSHG,,,
680,,601086.XSHG,,,
681,,603157.XSHG,,,
682,,603726.XSHG,,,
683,,603718.XSHG,,,
684,,600854.XSHG,,,
685,,600392.XSHG,,,
686,,600123.XSHG,,,
687,,600216.XSHG,,,
688,,600119.XSHG,,,
689,,600168.XSHG,,,
690,,600644.XSHG,,,
691,,603630.XSHG,,,
692,,600776.XSHG,,,
693,,600584.XSHG,,,
694,,603106.XSHG,,,
695,,601088.XSHG,,,
696,,603357.XSHG,,,
697,,600960.XSHG,,,
698,,600529.XSHG,,,
699,,600527.XSHG,,,
700,,600310.XSHG,,,
701,,603345.XSHG,,,
702,,600929.XSHG,,,
703,,603117.XSHG,,,
704,,600062.XSHG,,,
705,,603019.XSHG,,,
706,,600846.XSHG,,,
707,,600757.XSHG,,,
708,,603828.XSHG,,,
709,,600093.XSHG,,,
710,,600511.XSHG,,,
711,,600322.XSHG,,,
712,,601117.XSHG,,,
713,,601838.XSHG,,,
714,,600470.XSHG,,,
715,,603567.XSHG,,,
716,,603669.XSHG,,,
717,,600713.XSHG,,,
718,,600601.XSHG,,,
719,,601898.XSHG,,,
720,,600779.XSHG,,,
721,,600006.XSHG,,,
722,,601618.XSHG,,,
723,,600021.XSHG,,,
724,,603727.XSHG,,,
725,,600358.XSHG,,,
726,,600272.XSHG,,,
727,,600261.XSHG,,,
728,,600879.XSHG,,,
729,,600056.XSHG,,,
730,,600456.XSHG,,,
731,,600933.XSHG,,,
732,,600746.XSHG,,,
733,,603668.XSHG,,,
734,,603208.XSHG,,,
735,,601009.XSHG,,,
736,,603703.XSHG,,,
737,,600599.XSHG,,,
738,,601188.XSHG,,,
739,,603444.XSHG,,,
740,,600675.XSHG,,,
741,,603722.XSHG,,,
742,,600027.XSHG,,,
743,,600051.XSHG,,,
744,,600466.XSHG,,,
745,,603819.XSHG,,,
746,,603855.XSHG,,,
747,,603260.XSHG,,,
748,,601899.XSHG,,,
749,,603160.XSHG,,,
750,,603936.XSHG,,,
751,,600961.XSHG,,,
752,,600843.XSHG,,,
753,,601377.XSHG,,,
754,,600009.XSHG,,,
755,,603012.XSHG,,,
756,,600743.XSHG,,,
757,,600280.XSHG,,,
758,,600260.XSHG,,,
759,,603421.XSHG,,,
760,,600107.XSHG,,,
761,,603777.XSHG,,,
762,,600864.XSHG,,,
763,,600426.XSHG,,,
764,,603616.XSHG,,,
765,,600764.XSHG,,,
766,,600222.XSHG,,,
767,,600867.XSHG,,,
768,,603369.XSHG,,,
769,,603021.XSHG,,,
770,,600603.XSHG,,,
771,,601369.XSHG,,,
772,,600406.XSHG,,,
773,,601101.XSHG,,,
774,,600815.XSHG,,,
775,,600708.XSHG,,,
776,,603186.XSHG,,,
777,,600057.XSHG,,,
778,,600565.XSHG,,,
779,,603123.XSHG,,,
780,,603568.XSHG,,,
781,,600185.XSHG,,,
782,,603002.XSHG,,,
783,,600064.XSHG,,,
784,,603839.XSHG,,,
785,,600520.XSHG,,,
786,,603386.XSHG,,,
787,,601515.XSHG,,,
788,,600642.XSHG,,,
789,,600812.XSHG,,,
790,,600900.XSHG,,,
791,,600676.XSHG,,,
792,,600865.XSHG,,,
793,,600965.XSHG,,,
794,,600978.XSHG,,,
795,,603259.XSHG,,,
796,,601678.XSHG,,,
797,,603477.XSHG,,,
798,,600893.XSHG,,,
799,,600664.XSHG,,,
800,,600130.XSHG,,,
801,,603767.XSHG,,,
802,,600256.XSHG,,,
803,,600563.XSHG,,,
804,,600566.XSHG,,,
805,,601811.XSHG,,,
806,,601058.XSHG,,,
807,,601616.XSHG,,,
808,,600028.XSHG,,,
809,,603538.XSHG,,,
810,,603383.XSHG,,,
811,,600246.XSHG,,,
812,,600548.XSHG,,,
813,,600983.XSHG,,,
814,,603022.XSHG,,,
815,,600754.XSHG,,,
816,,600753.XSHG,,,
817,,600594.XSHG,,,
818,,600318.XSHG,,,
819,,600326.XSHG,,,
820,,600110.XSHG,,,
821,,603035.XSHG,,,
822,,600348.XSHG,,,
823,,601966.XSHG,,,
824,,603577.XSHG,,,
825,,600506.XSHG,,,
826,,603717.XSHG,,,
827,,600206.XSHG,,,
828,,600463.XSHG,,,
829,,601288.XSHG,,,
830,,600666.XSHG,,,
831,,600330.XSHG,,,
832,,603011.XSHG,,,
833,,603602.XSHG,,,
834,,603989.XSHG,,,
835,,603266.XSHG,,,
836,,603883.XSHG,,,
837,,600462.XSHG,,,
838,,600997.XSHG,,,
839,,600835.XSHG,,,
840,,603088.XSHG,,,
841,,600483.XSHG,,,
842,,600824.XSHG,,,
843,,600000.XSHG,,,
844,,600479.XSHG,,,
845,,601628.XSHG,,,
846,,600885.XSHG,,,
847,,600903.XSHG,,,
848,,600082.XSHG,,,
849,,600593.XSHG,,,
850,,600671.XSHG,,,
851,,601998.XSHG,,,
852,,600368.XSHG,,,
853,,600768.XSHG,,,
854,,603416.XSHG,,,
855,,600477.XSHG,,,
856,,600645.XSHG,,,
857,,603636.XSHG,,,
858,,600461.XSHG,,,
859,,600231.XSHG,,,
860,,600629.XSHG,,,
861,,603738.XSHG,,,
862,,600730.XSHG,,,
863,,600360.XSHG,,,
864,,600975.XSHG,,,
865,,600550.XSHG,,,
866,,600387.XSHG,,,
867,,600125.XSHG,,,
868,,603031.XSHG,,,
869,,600196.XSHG,,,
870,,603318.XSHG,,,
871,,603569.XSHG,,,
872,,600649.XSHG,,,
873,,603000.XSHG,,,
874,,600446.XSHG,,,
875,,603026.XSHG,,,
876,,601718.XSHG,,,
877,,603999.XSHG,,,
878,,603868.XSHG,,,
879,,601500.XSHG,,,
880,,600248.XSHG,,,
881,,600340.XSHG,,,
882,,600162.XSHG,,,
883,,603496.XSHG,,,
884,,600163.XSHG,,,
885,,603566.XSHG,,,
886,,600761.XSHG,,,
887,,601318.XSHG,,,
888,,603663.XSHG,,,
889,,603768.XSHG,,,
890,,601398.XSHG,,,
891,,600980.XSHG,,,
892,,603328.XSHG,,,
893,,600439.XSHG,,,
894,,603043.XSHG,,,
895,,600737.XSHG,,,
896,,600555.XSHG,,,
897,,600490.XSHG,,,
898,,603037.XSHG,,,
899,,600422.XSHG,,,
900,,600497.XSHG,,,
901,,603060.XSHG,,,
902,,600232.XSHG,,,
903,,600346.XSHG,,,
904,,600735.XSHG,,,
905,,603456.XSHG,,,
906,,600063.XSHG,,,
907,,603676.XSHG,,,
908,,600909.XSHG,,,
909,,600993.XSHG,,,
910,,600128.XSHG,,,
911,,600831.XSHG,,,
912,,600826.XSHG,,,
913,,600780.XSHG,,,
914,,603077.XSHG,,,
915,,600987.XSHG,,,
916,,600798.XSHG,,,
917,,600241.XSHG,,,
918,,603227.XSHG,,,
919,,600219.XSHG,,,
920,,600391.XSHG,,,
921,,603912.XSHG,,,
922,,600901.XSHG,,,
923,,600533.XSHG,,,
924,,600367.XSHG,,,
925,,603599.XSHG,,,
926,,600688.XSHG,,,
927,,600083.XSHG,,,
928,,603387.XSHG,,,
929,,603885.XSHG,,,
930,,601222.XSHG,,,
931,,603711.XSHG,,,
932,,600258.XSHG,,,
933,,601633.XSHG,,,
934,,603069.XSHG,,,
935,,603660.XSHG,,,
936,,600089.XSHG,,,
937,,603822.XSHG,,,
938,,603988.XSHG,,,
939,,600876.XSHG,,,
940,,603880.XSHG,,,
941,,600510.XSHG,,,
942,,600276.XSHG,,,
943,,603808.XSHG,,,
944,,600004.XSHG,,,
945,,603041.XSHG,,,
946,,600705.XSHG,,,
947,,600712.XSHG,,,
948,,603929.XSHG,,,
949,,603955.XSHG,,,
950,,603322.XSHG,,,
951,,601211.XSHG,,,
952,,603337.XSHG,,,
953,,600516.XSHG,,,
954,,600015.XSHG,,,
955,,600160.XSHG,,,
956,,601689.XSHG,,,
957,,600036.XSHG,,,
958,,600335.XSHG,,,
959,,601669.XSHG,,,
960,,600720.XSHG,,,
961,,600828.XSHG,,,
962,,600038.XSHG,,,
963,,600386.XSHG,,,
964,,603908.XSHG,,,
965,,600981.XSHG,,,
966,,601566.XSHG,,,
967,,603612.XSHG,,,
968,,603888.XSHG,,,
969,,603319.XSHG,,,
970,,600861.XSHG,,,
971,,600581.XSHG,,,
972,,600575.XSHG,,,
973,,600079.XSHG,,,
974,,601069.XSHG,,,
975,,603917.XSHG,,,
976,,603016.XSHG,,,
977,,600598.XSHG,,,
978,,600011.XSHG,,,
979,,603877.XSHG,,,
980,,600962.XSHG,,,
981,,600488.XSHG,,,
982,,600257.XSHG,,,
983,,600072.XSHG,,,
984,,601518.XSHG,,,
985,,600200.XSHG,,,
986,,600159.XSHG,,,
987,,603027.XSHG,,,
988,,600212.XSHG,,,
989,,600270.XSHG,,,
990,,603698.XSHG,,,
991,,600210.XSHG,,,
992,,600153.XSHG,,,
993,,601011.XSHG,,,
994,,603585.XSHG,,,
995,,601200.XSHG,,,
996,,603506.XSHG,,,
997,,600537.XSHG,,,
998,,600668.XSHG,,,
999,,601012.XSHG,,,
1000,,600283.XSHG,,,
1001,,601368.XSHG,,,
1002,,601608.XSHG,,,
1003,,600410.XSHG,,,
1004,,603696.XSHG,,,
1005,,603268.XSHG,,,
1006,,603393.XSHG,,,
1007,,603368.XSHG,,,
1008,,600579.XSHG,,,
1009,,600230.XSHG,,,
1010,,600025.XSHG,,,
1011,,600690.XSHG,,,
1012,,603309.XSHG,,,
1013,,600317.XSHG,,,
1014,,600650.XSHG,,,
1015,,601336.XSHG,,,
1016,,600606.XSHG,,,
1017,,600167.XSHG,,,
1018,,600395.XSHG,,,
1019,,600958.XSHG,,,
1020,,600262.XSHG,,,
1021,,601366.XSHG,,,
1022,,600597.XSHG,,,
1023,,600320.XSHG,,,
1024,,603890.XSHG,,,
1025,,600936.XSHG,,,
1026,,603606.XSHG,,,
1027,,600751.XSHG,,,
1028,,601567.XSHG,,,
1029,,600039.XSHG,,,
1030,,600029.XSHG,,,
1031,,600020.XSHG,,,
1032,,603721.XSHG,,,
1033,,603233.XSHG,,,
1034,,603056.XSHG,,,
1035,,600739.XSHG,,,
1036,,603010.XSHG,,,
1037,,600736.XSHG,,,
1038,,600199.XSHG,,,
1039,,601890.XSHG,,,
1040,,600496.XSHG,,,
1041,,601595.XSHG,,,
1042,,600559.XSHG,,,
1043,,600657.XSHG,,,
1044,,603801.XSHG,,,
1045,,600495.XSHG,,,
1046,,600860.XSHG,,,
1047,,600719.XSHG,,,
1048,,601949.XSHG,,,
1049,,600848.XSHG,,,
1050,,600306.XSHG,,,
1051,,600175.XSHG,,,
1052,,603196.XSHG,,,
1053,,600418.XSHG,,,
1054,,600982.XSHG,,,
1055,,601216.XSHG,,,
1056,,603879.XSHG,,,
1057,,603889.XSHG,,,
1058,,603811.XSHG,,,
1059,,600071.XSHG,,,
1060,,601857.XSHG,,,
1061,,600066.XSHG,,,
1062,,600184.XSHG,,,
1063,,600129.XSHG,,,
1064,,600818.XSHG,,,
1065,,600523.XSHG,,,
1066,,600307.XSHG,,,
1067,,600486.XSHG,,,
1068,,601229.XSHG,,,
1069,,600723.XSHG,,,
1070,,603699.XSHG,,,
1071,,603960.XSHG,,,
1072,,600302.XSHG,,,
1073,,603856.XSHG,,,
1074,,600971.XSHG,,,
1075,,600661.XSHG,,,
1076,,600568.XSHG,,,
1077,,600681.XSHG,,,
1078,,600007.XSHG,,,
1079,,600333.XSHG,,,
1080,,600802.XSHG,,,
1081,,600617.XSHG,,,
1082,,600186.XSHG,,,
1083,,601872.XSHG,,,
1084,,601688.XSHG,,,
1085,,600308.XSHG,,,
1086,,601010.XSHG,,,
1087,,603580.XSHG,,,
1088,,600081.XSHG,,,
1089,,603555.XSHG,,,
1090,,603308.XSHG,,,
1091,,600485.XSHG,,,
1092,,600652.XSHG,,,
1093,,600393.XSHG,,,
1094,,600316.XSHG,,,
1095,,601601.XSHG,,,
1096,,603607.XSHG,,,
1097,,600809.XSHG,,,
1098,,600191.XSHG,,,
1099,,603178.XSHG,,,
1100,,601038.XSHG,,,
1101,,603987.XSHG,,,
1102,,601886.XSHG,,,
1103,,600758.XSHG,,,
1104,,603665.XSHG,,,
1105,,603535.XSHG,,,
1106,,603578.XSHG,,,
1107,,600298.XSHG,,,
1108,,603159.XSHG,,,
1109,,603076.XSHG,,,
1110,,603689.XSHG,,,
1111,,600350.XSHG,,,
1112,,600694.XSHG,,,
1113,,603098.XSHG,,,
1114,,603797.XSHG,,,
1115,,600773.XSHG,,,
1116,,603861.XSHG,,,
1117,,600031.XSHG,,,
1118,,600077.XSHG,,,
1119,,600101.XSHG,,,
1120,,600718.XSHG,,,
1121,,600117.XSHG,,,
1122,,601727.XSHG,,,
1123,,603959.XSHG,,,
1124,,600587.XSHG,,,
1125,,600655.XSHG,,,
1126,,600187.XSHG,,,
1127,,603313.XSHG,,,
1128,,600311.XSHG,,,
1129,,600724.XSHG,,,
1130,,600756.XSHG,,,
1131,,600851.XSHG,,,
1132,,603557.XSHG,,,
1133,,603729.XSHG,,,
1134,,600715.XSHG,,,
1135,,600738.XSHG,,,
1136,,601939.XSHG,,,
1137,,600521.XSHG,,,
1138,,600894.XSHG,,,
1139,,600337.XSHG,,,
1140,,600284.XSHG,,,
1141,,600068.XSHG,,,
1142,,600157.XSHG,,,
1143,,601169.XSHG,,,
1144,,603527.XSHG,,,
1145,,600984.XSHG,,,
1146,,600995.XSHG,,,
1147,,600857.XSHG,,,
1148,,600235.XSHG,,,
1149,,600023.XSHG,,,
1150,,600609.XSHG,,,
1151,,600562.XSHG,,,
1152,,600863.XSHG,,,
1153,,603090.XSHG,,,
1154,,603099.XSHG,,,
1155,,600662.XSHG,,,
1156,,601155.XSHG,,,
1157,,601611.XSHG,,,
1158,,603886.XSHG,,,
1159,,600569.XSHG,,,
1160,,601166.XSHG,,,
1161,,600290.XSHG,,,
1162,,600090.XSHG,,,
1163,,603677.XSHG,,,
1164,,603733.XSHG,,,
1165,,601001.XSHG,,,
1166,,600816.XSHG,,,
1167,,600217.XSHG,,,
1168,,600977.XSHG,,,
1169,,603615.XSHG,,,
1170,,600491.XSHG,,,
1171,,600626.XSHG,,,
1172,,601158.XSHG,,,
1173,,600517.XSHG,,,
1174,,600035.XSHG,,,
1175,,600249.XSHG,,,
1176,,603826.XSHG,,,
1177,,600660.XSHG,,,
1178,,601208.XSHG,,,
1179,,603429.XSHG,,,
1180,,601107.XSHG,,,
1181,,600328.XSHG,,,
1182,,603898.XSHG,,,
1183,,600266.XSHG,,,
1184,,600830.XSHG,,,
1185,,603519.XSHG,,,
1186,,600796.XSHG,,,
1187,,600898.XSHG,,,
1188,,600745.XSHG,,,
1189,,603033.XSHG,,,
1190,,603320.XSHG,,,
1191,,600635.XSHG,,,
1192,,603626.XSHG,,,
1193,,603813.XSHG,,,
1194,,600698.XSHG,,,
1195,,603986.XSHG,,,
1196,,603029.XSHG,,,
1197,,600037.XSHG,,,
1198,,603977.XSHG,,,
1199,,600805.XSHG,,,
1200,,600979.XSHG,,,
1201,,603686.XSHG,,,
1202,,600966.XSHG,,,
1203,,600436.XSHG,,,
1204,,600545.XSHG,,,
1205,,600853.XSHG,,,
1206,,600345.XSHG,,,
1207,,600744.XSHG,,,
1208,,603079.XSHG,,,
1209,,603286.XSHG,,,
1210,,600319.XSHG,,,
1211,,600363.XSHG,,,
1212,,600188.XSHG,,,
1213,,603168.XSHG,,,
1214,,600267.XSHG,,,
1215,,603226.XSHG,,,
1216,,603028.XSHG,,,
1217,,600714.XSHG,,,
1218,,601777.XSHG,,,
1219,,600239.XSHG,,,
1220,,603081.XSHG,,,
1221,,600098.XSHG,,,
1222,,600052.XSHG,,,
1223,,601801.XSHG,,,
1224,,600515.XSHG,,,
1225,,603303.XSHG,,,
1226,,600833.XSHG,,,
1227,,600327.XSHG,,,
1228,,603618.XSHG,,,
1229,,600435.XSHG,,,
1230,,601717.XSHG,,,
1231,,600095.XSHG,,,
1232,,600226.XSHG,,,
1233,,603823.XSHG,,,
1234,,600895.XSHG,,,
1235,,600803.XSHG,,,
1236,,600797.XSHG,,,
1237,,600546.XSHG,,,
1238,,600086.XSHG,,,
1239,,600628.XSHG,,,
1240,,603757.XSHG,,,
1241,,603223.XSHG,,,
1242,,603299.XSHG,,,
1243,,603038.XSHG,,,
1244,,603979.XSHG,,,
1245,,600480.XSHG,,,
1246,,600781.XSHG,,,
1247,,600595.XSHG,,,
1248,,600973.XSHG,,,
1249,,600370.XSHG,,,
1250,,600207.XSHG,,,
1251,,600383.XSHG,,,
1252,,601108.XSHG,,,
1253,,603078.XSHG,,,
1254,,600578.XSHG,,,
1255,,603596.XSHG,,,
1256,,600986.XSHG,,,
1257,,600058.XSHG,,,
1258,,601828.XSHG,,,
1259,,603466.XSHG,,,
1260,,603380.XSHG,,,
1261,,600858.XSHG,,,
1262,,600850.XSHG,,,
1263,,600112.XSHG,,,
1264,,600022.XSHG,,,
1265,,603399.XSHG,,,
1266,,600300.XSHG,,,
1267,,600967.XSHG,,,
1268,,600010.XSHG,,,
1269,,601636.XSHG,,,
1270,,600305.XSHG,,,
1271,,600766.XSHG,,,
1272,,603916.XSHG,,,
1273,,600585.XSHG,,,
1274,,603189.XSHG,,,
1275,,603881.XSHG,,,
1276,,603169.XSHG,,,
1277,,600278.XSHG,,,
1278,,603871.XSHG,,,
1279,,600507.XSHG,,,
1280,,601226.XSHG,,,
1281,,600103.XSHG,,,
1282,,600493.XSHG,,,
1283,,603116.XSHG,,,
1284,,600096.XSHG,,,
1285,,600639.XSHG,,,
1286,,600099.XSHG,,,
1287,,600389.XSHG,,,
1288,,600596.XSHG,,,
1289,,600405.XSHG,,,
1290,,603520.XSHG,,,
1291,,603110.XSHG,,,
1292,,600165.XSHG,,,
1293,,600250.XSHG,,,
1294,,600684.XSHG,,,
1295,,601929.XSHG,,,
1296,,600221.XSHG,,,
1297,,601866.XSHG,,,
1298,,600856.XSHG,,,
1299,,600192.XSHG,,,
1300,,603214.XSHG,,,
1301,,603225.XSHG,,,
1302,,601015.XSHG,,,
1303,,600285.XSHG,,,
1304,,600695.XSHG,,,
1305,,603969.XSHG,,,
1306,,600105.XSHG,,,
1307,,601519.XSHG,,,
1308,,600722.XSHG,,,
1309,,603919.XSHG,,,
1310,,603716.XSHG,,,
1311,,600133.XSHG,,,
1312,,600452.XSHG,,,
1313,,601258.XSHG,,,
1314,,600059.XSHG,,,
1315,,603356.XSHG,,,
1316,,600821.XSHG,,,
1317,,600734.XSHG,,,
1318,,603032.XSHG,,,
1319,,600171.XSHG,,,
1320,,600582.XSHG,,,
1321,,601106.XSHG,,,
1322,,603179.XSHG,,,
1323,,600176.XSHG,,,
1324,,603128.XSHG,,,
1325,,600665.XSHG,,,
1326,,600361.XSHG,,,
1327,,603305.XSHG,,,
1328,,601375.XSHG,,,
1329,,600388.XSHG,,,
1330,,603758.XSHG,,,
1331,,603020.XSHG,,,
1332,,600586.XSHG,,,
1333,,601901.XSHG,,,
1334,,603903.XSHG,,,
1335,,603990.XSHG,,,
1336,,603180.XSHG,,,
1337,,600726.XSHG,,,
1338,,603655.XSHG,,,
1339,,601238.XSHG,,,
1340,,600338.XSHG,,,
1341,,600106.XSHG,,,
1342,,603277.XSHG,,,
1343,,600727.XSHG,,,
1344,,600640.XSHG,,,
1345,,600820.XSHG,,,
1346,,603333.XSHG,,,
1347,,600604.XSHG,,,
1348,,600475.XSHG,,,
1349,,603001.XSHG,,,
1350,,600339.XSHG,,,
1351,,600084.XSHG,,,
1352,,603330.XSHG,,,
1353,,603899.XSHG,,,
1354,,603023.XSHG,,,
1355,,600109.XSHG,,,
1356,,600702.XSHG,,,
1357,,600703.XSHG,,,
1358,,600113.XSHG,,,
1359,,601198.XSHG,,,
1360,,600513.XSHG,,,
1361,,600612.XSHG,,,
1362,,600886.XSHG,,,
1363,,603050.XSHG,,,
1364,,600785.XSHG,,,
1365,,600385.XSHG,,,
1366,,603922.XSHG,,,
